name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
1. 国土（水・土地）,,,,,,,,,,,,,,,,,,,,
【水域】,,,,,,,,,,,,,,,,,,,,
海岸線,yes,C23,,Coastline,2006,https://nlftp.mlit.go.jp/ksj/gml/data/C23/C23-06/C23-06_code_pref_GML.zip,C23-06_code_pref_GML.zip,C23-06_code_pref-g_Coastline.shp,,C23-06_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-C23.html,,,,,C23_001,code_pref_muni,CP932,C23.qml,4612
海岸保全施設（ライン）,yes,P23,,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P23/P23-12/P23-12_13_GML.zip,P23-12_code_pref_GML.zip,P23b-12_code_pref.shp,,P23-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P23.html,,,,,,,CP932,P23b.qml,4612
海岸保全施設（ポイント） ,yes,P23,,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P23/P23-12/P23-12_13_GML.zip,P23-12_code_pref_GML.zip,P23a-12_code_pref.shp,,P23-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P23.html,,,,,,,CP932,P23a.qml,4612
湖沼,yes,W09,single,,2005,https://nlftp.mlit.go.jp/ksj/gml/data/W09/W09-05/W09-05_GML.zip,W09-05_GML.zip,W09-05-g_Lake.shp,,W09-05_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W09-2005.html,,,,,,,CP932,W09.qml,4612
流域メッシュ ,,W07,mesh,,,,,,,,,,,,,,,,,
ダム,yes,W01,single,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/W01/W01-14/W01-14_GML.zip,W01-14_GML.zip,W01-14-g_Dam.shp,,W01-14_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W01.html,,,,,,,CP932,W01.qml,6668
河川（ライン）,maybe (都道府県によって年が違う),W05,,Stream,,https://nlftp.mlit.go.jp/ksj/gml/data/W05/W05-08/W05-08_code_pref_GML.zip,W05-08_code_pref_GML.zip,W05-08_code_pref-g_Stream.shp,,W05-08_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W05.html,,,,,,,CP932,,4612
河川（ポイント）,maybe (都道府県によって年が違う),W05,,River Node,,https://nlftp.mlit.go.jp/ksj/gml/data/W05/W05-08/W05-08_code_pref_GML.zip,W05-08_code_pref_GML.zip,W05-08_code_pref-g_RiverNode.shp,,W05-08_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-W05.html,,,,,,,CP932,,4612
【地形】,,,,,,,,,,,,,,,,,,,,
標高・傾斜度3次メッシュ,,G04-a,mesh,,,,,,,,,,,,,,,,,
標高・傾斜度4次メッシュ,,G04-c,mesh,,,,,,,,,,,,,,,,,
標高・傾斜度5次メッシュ,,G04-d,mesh,,,,,,,,,,,,,,,,,
低位地帯,yes,G08,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/G08/G08-15/G08-15_code_pref_GML.zip,G08-15_code_pref_GML.zip,G08-15_code_pref.shp,,G08-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-G08-2015.html,,,,,,,CP932,,6668
【土地利用】,,,,,,,,,,,,,,,,,,,,
土地利用3次メッシュ,,L03-a,mesh,,,,,,,,,,,,,,,,,
土地利用細分メッシュ ,,L03-b,mesh,,,,,,,,,,,,,,,,,
土地利用細分メッシュ（ラスタ版）,,L03-b_r,mesh,,,,,,,,,,,,,,,,,
都市地域土地利用細分メッシュ,,L03-b-u,mesh,,,,,,,,,,,,,,,,,
土地利用詳細メッシュ,,L03-b-c,mesh,,,,,,,,,,,,,,,,,
森林地域（森林地域 ）,yes,A13,,Forest Area,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A13/A13-15/A13-15_code_pref_GML.zip,A13-15_code_pref_GML.zip,a001code_pref0020160207.shp,,A13-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A13-2015.html,,,,,A23_002,code_pref_muni,CP932,A13-07.qml,4612
森林地域（国有林 ）,yes,A13,,Forest Area,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A13/A13-15/A13-15_code_pref_GML.zip,A13-15_code_pref_GML.zip,a001code_pref0020160208.shp,,A13-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A13-2015.html,,,,,A23_002,code_pref_muni,CP932,A13-08.qml,4612
森林地域（地域森林計画対象民有林 ）,yes,A13,,Forest Area,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A13/A13-15/A13-15_code_pref_GML.zip,A13-15_code_pref_GML.zip,a001code_pref0020160209.shp,,A13-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A13-2015.html,,,,,A23_002,code_pref_muni,CP932,A13-09.qml,4612
森林地域（保安林 ）,yes,A13,,Forest Area,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A13/A13-15/A13-15_code_pref_GML.zip,A13-15_code_pref_GML.zip,a001code_pref0020160210.shp,,A13-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A13-2015.html,,,,,A23_002,code_pref_muni,CP932,A13-10.qml,4612
国有林野,yes,A45,,,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A45/A45-19/A45-19_code_pref_GML.zip,A45-19_code_pref_GML.zip,A45-19_code_pref.shp,,A45-19_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A45.html,,,,,,,CP932,A45.qml,6668
農業地域（農業地域）,yes,A12,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-15/A12-15_code_pref_GML.zip,A12-15_code_pref_GML.zip,a001code_pref0020160205.shp,,A12-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A12.html,,,,,,,CP932,A12-05.qml,4612
農業地域（農用地区域）,yes,A12,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-15/A12-15_code_pref_GML.zip,A12-15_code_pref_GML.zip,a001code_pref0020160206.shp,,A12-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A12.html,,,,,,,CP932,A12-06.qml,4612
都市地域（ポリゴン）,,A09,muni,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-15/A12-15_code_pref_GML.zip,,,,,,,,,,,,,,
用途地域（ポリゴン）,,A29,muni,,,,,,,,,,,,,,,,,
立地適正化計画区域（ポリゴン） ,,A50,muni,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A50/A50-20/A50-20_code_pref_GML.zip,A50-20_code_pref_GML.zip,,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A50-v1_0.html,A50_006,1 2 3,立地適正化計画区域 居住誘導区域 都市機能誘導区域,#E2FFE3 #99CDFD #F87E88,,,UTF-8,,6668
【地価】,,,,,,,,,,,,,,,,,,,,
地価公示,yes,L01,,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-22/L01-22_code_pref_GML.zip,L01-22_code_pref_GML.zip,L01-22_code_pref.shp,L01-22_code_pref.geojson,L01-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-v3_1.html,L01_006,,,,L01_022,code_pref_muni,CP932,L01.qml,4612
都道府県地価調査,yes,L02,,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/L02/L02-22/L02-22_code_pref_GML.zip,L02-22_code_pref_GML.zip,L02-22_code_pref.shp,L02-22_code_pref.geojson,L02-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L02-v3_0.html,L02_006,,,,L02_020,code_pref_muni,CP932,L02.qml,4612
2. 政策区域 ,,,,,,,,,,,,,,,,,,,,
【行政地域】,,,,,,,,,,,,,,,,,,,,
行政区域,yes,N03,,,2024,https://nlftp.mlit.go.jp/ksj/gml/data/N03/N03-2024/N03-20240101_code_pref_GML.zip,N03-20240101_code_pref_GML.zip,N03-20240101_code_pref.shp,,N03-20240101_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-2024.html,,,,,N03_007,code_pref_muni,CP932,,6668
DID人口集中地区,yes,A16,,DID,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A16/A16-15/A16-15_code_pref_GML.zip,A16-15_code_pref_GML.zip,A16-15_code_pref_DID.shp,,A16-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A16-2015.html,,,,,,,CP932,,6668
中学校区,yes,A32,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A32/A32-21/A32-21_code_pref_GML.zip,A32-21_code_pref_GML.zip,A32-21_code_pref.shp,A32-21_code_pref.geojson,A32-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-v3_0.html,,,,,A32_001,code_pref_muni,CP932,,6668
小学校区,yes,A27,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A27/A27-21/A27-21_code_pref_GML.zip,A27-21_code_pref_GML.zip,A27-21_code_pref.shp,A27-21_code_pref.geojson,A27-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-v3_0.html,,,,,A27_001,code_pref_muni,CP932,,6668
医療圏（一次医療圏）,yes,A38,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A38/A38-20/A38-20_code_pref_GML.zip,A38-20_code_pref_GML.zip,A38-20_code_pref_1.shp,,A38-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A38-2020.html,,,,,,,CP932,,6668
医療圏（二次医療圏）,yes,A38,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A38/A38-20/A38-20_code_pref_GML.zip,A38-20_code_pref_GML.zip,A38-20_code_pref_2.shp,,A38-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A38-2020.html,,,,,,,CP932,,6668
医療圏（三次医療圏）,yes,A38,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/A38/A38-20/A38-20_code_pref_GML.zip,A38-20_code_pref_GML.zip,A38-20_code_pref_3.shp,,A38-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A38-2020.html,,,,,,,CP932,,6668
景観計画区域（面）,yes,A35a,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35a/A35a-14/A35a-14_code_pref_GML.zip,A35a-14_code_pref_GML.zip,A35a-14_code_pref.shp,,A35a-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35a.html,,,,,,,CP932,,6668
景観計画区域（点）,yes,A35a,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35a/A35a-14/A35a-14_code_pref_GML.zip,A35a-14_code_pref_GML.zip,A35b-14_code_pref.shp,,A35a-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35a.html,,,,,,,CP932,,6668
景観計画区域（景観重点地区）,yes,A35a,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35a/A35a-14/A35a-14_code_pref_GML.zip,A35a-14_code_pref_GML.zip,A35c-14_code_pref.shp,,A35a-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35a.html,,,,,,,CP932,,6668
景観地区・準景観地区（面）,yes,A35b,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35b/A35b-14/A35b-14_code_pref_GML.zip,A35b-14_code_pref_GML.zip,A35d-14_code_pref.shp,,A35b-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35b.html,,,,,,,CP932,,6668
景観地区・準景観地区（点）,yes,A35b,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35b/A35b-14/A35b-14_code_pref_GML.zip,A35b-14_code_pref_GML.zip,A35e-14_code_pref.shp,,A35b-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35b.html,,,,,,,CP932,,6668
景観地区・準景観地区（ゾーン）,yes,A35b,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35b/A35b-14/A35b-14_code_pref_GML.zip,A35b-14_code_pref_GML.zip,A35d-14_code_pref.shp,,A35b-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35b.html,,,,,,,CP932,,6668
景観重要建造物,yes,A35c,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35c/A35c-14/A35c-14_code_pref_GML.zip,A35c-14_code_pref_GML.zip,A35g-14_code_pref.shp,,A35c-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35c.html,,,,,,,CP932,,6668
景観重要樹木,yes,A35c,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/A35c/A35c-14/A35c-14_code_pref_GML.zip,A35c-14_code_pref_GML.zip,A35h-14_code_pref.shp,,A35c-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A35c.html,,,,,,,CP932,,6668
歴史的風土保存区域,yes,A42,single,Preservation Area of Historic Landscape,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A42/A42-18/A42-18_GML.zip,A42-18_GML.zip,A42-18_Preservation_Area_of_Historic_Landscape.shp,,A42-18_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A42.html,,,,,,,CP932,,6668
歴史的風土保存区域,yes,A42,single,Special Preservation Area of Historic Landscape,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A42/A42-18/A42-18_GML.zip,A42-18_GML.zip,A42-18_Spacial_Preservation_Area_of_Historic_Landscape.shp,,A42-18_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A42.html,,,,,,,CP932,,6668
歴史的風土特別保存地区,yes,A43,single,Preservation District of Historic Buildings,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A43/A43-18/A43-18_GML.zip,A43-18_GML.zip,A43-18_Preservation_District_of_Historic_Buildings.shp,A43-18_ Preservation_District_of_Historic_Buildings.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A43.html,,,,,A43_003,code_pref_muni,CP932,,6668
歴史的風致維持向上計画の重点地区,yes,A44,single,Priority Area of Plan for the Maintenance and Improvement of Historical Scenic Beauty,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A44/A44-18/A44-18_GML.zip,A44-18_GML.zip,A44-18_Priority_Area_of_Plan_for_the_Maintenance_and_Improvement_of_Historical_Scenic_Beauty.shp,A44-18_ Priority_Area_of_Plan_for_the_Maintenance_and_Improvement_of_Historical_Scenic_Beauty.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A44.html,,,,,A44_003,code_pref_muni,CP932,,6668
【大都市圏・条件不利地域】,,,,,,,,,,,,,,,,,,,,
三大都市圏計画区域（ポリゴン）,,A03,三大都市圏,,,,,,,,,,,,,,,,,
過疎地域,yes,A17,,,2017,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-17/A17-17_code_pref_GML.zip,A17-17_code_pref_GML.zip,A17-17_code_pref.shp,,A17-17_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2017.html,,,,,,,CP932,,6668
振興山村,yes,A24,,,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-16/A24-16_code_pref_GML.zip,A24-16_code_pref_GML.zip,A24-16_code_pref.shp,,A24-16_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A24-2016.html,,,,,,,CP932,,6668
特定農山村地域,yes,A25,,,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A25/A25-16/A25-16_code_pref_GML.zip,A25-16_code_pref_GML.zip,A25-16_code_pref.shp,,A25-16_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A25-2016.html,,,,,,,CP932,,6668
離島振興対策実施地域（ポリゴン）,,A19,,,,,,,,,,,,,,,,,,
離島振興対策実施地域統計情報（ポリゴン）,,A19s,,,,,,,,,,,,,,,,,,
小笠原諸島（ポリゴン）,,A21,,,,,,,,,,,,,,,,,,
小笠原諸島統計情報（ポリゴン）,,A21s,,,,,,,,,,,,,,,,,,
奄美群島（ポリゴン）,,A20,,,,,,,,,,,,,,,,,,
奄美群島統計情報（ポリゴン）,,A20s,,,,,,,,,,,,,,,,,,
半島振興対策実施地域（ポリゴン）,,A18,,,,,,,,,,,,,,,,,,
半島振興対策実施地域統計情報（ポリゴン）,,A18s-a,,,,,,,,,,,,,,,,,,
半島循環道路（ポリゴン）（ライン）,,A37,,,,,,,,,,,,,,,,,,
豪雪地帯,yes,A22,,,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-16/A22-16_code_pref_GML.zip,A22-16_code_pref_GML.zip,A22-16_code_pref.shp,,A22-16_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2016.html,,,,,,,CP932,,6668
豪雪地帯（気象データ）（ポリゴン）（ポイント）,,A22-m,,,,,,,,,,,,,,,,,,
豪雪地帯統計情報（ポリゴン）,,A22s,,,,,,,,,,,,,,,,,,
特殊土壌地帯,,A23,,,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-16/A23-16_code_pref_GML.zip,A23-16_code_pref_GML.zip,A23-16_code_pref.shp,,A23-16_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A23-2016.html,,,,,,,CP932,,6668
密集市街地,,A39,single,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A39/A39-15/A39-15_GML.zip,A39-15_GML.zip,A39-15.shp,,A39-15_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A39-2015.html,,,,,,,CP932,,6668
【災害・防災】,,,,,,,,,,,,,,,,,,,,
洪水浸水想定区域（1次メッシュ）,,A31,mesh,,,,,,,,,,,,,,,,,
避難施設,yes,P20,,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P20/P20-12/P20-12_code_pref_GML.zip,P20-12_code_pref_GML.zip,P20-12_code_pref.shp,,P20-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P20.html,,,,,,,CP932,,4612
洪水浸水想定区域（河川単位：ポリゴン）,yes,A31a,river,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A31/A31-21/A31-21_code_pref_GML.zip,A31-21_code_pref_GML.zip,NA,,A31-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A31a-2022.html,,,,,,,CP932,,6668
平年値（気候）メッシュ,,G02,mesh,,,,,,,,,,,,,,,,,
竜巻等の突風（ポイント）,,A30b,,,,,,,,,,,,,,,,,,
土砂災害・雪崩メッシュ,,A30a5,mesh,,,,,,,,,,,,,,,,,
土砂災害警戒区域（ポリゴン）（ライン）,,A33,,,,,,,,,,,,,,,,,,
地すべり防止区域（ポリゴン）,,A46,,,,,,,,,,,,,,,,,,
急傾斜地崩壊危険区域（ポリゴン）,,A47,,,,,,,,,,,,,,,,,,
津波浸水想定（ポリゴン）,,A40,,,,,,,,,,,,,,,,,,
高潮浸水想定区域（ポリゴン）,,A49,,,,,,,,,,,,,,,,,,
災害危険区域,yes,A48,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/A48/A48-21/A48-21_code_pref_GML.zip,A48-21_code_pref_GML.zip,A48-21_code_pref.shp,A48-21_code_pref.geojson,A48-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A48-v1_2.html,A48_007,1 2 3 4 5 6 7,水害（河川） 水害（海） 水害（河川・海） 急傾斜地崩壊等 地すべり等 火山被害 その他,#16A085 #D1F2EB #1F618D #229954 #BA4A00 #E74C3C #808B96,,,CP932,,6668
3. 地域,,,,,,,,,,,,,,,,,,,,
【施設】,,,,,,,,,,,,,,,,,,,,
国・都道府県の機関,yes,P28,,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/P28/P28-22/P28-22_code_pref.zip,P28-22_code_pref.zip,P28-22_code_pref.shp,,P28-22_code_pref,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P28-2022.html,,,,,,,CP932,P02.qml,6668
市町村役場等及び公的集会施設,yes,P05,,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/P05/P05-22/P05-22_code_pref_GML.zip,P05-22_code_pref_GML.zip,P05-22_code_pref.shp,,P05-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P05-2022.html,,,,,,,CP932,,6668
市区町村役場,yes,P34,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/P34/P34-14/P34-14_code_pref_GML.zip,P34-14_code_pref_GML.zip,P34-14_code_pref.shp,,P34-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P34.html,,,,,,,CP932,,4612
公共施設,yes,P02,,Public Facility,2006,https://nlftp.mlit.go.jp/ksj/gml/data/P02/P02-06/P02-06_code_pref_GML.zip,P02-06_code_pref_GML.zip,P02-06_code_pref-g_PublicFacility.shp,,P02-06_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P02-2006.html,,,,,,,CP932,,4612
警察署,yes,P18,,Police Station,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P18/P18-12/P18-12_code_pref_GML.zip,P18-12_code_pref_GML.zip,P18-12_code_pref_PoliceStation.shp,,P18-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P18.html,,,,,,,CP932,,4612
警察署管轄範囲,yes,P18,,Police Station Jurisdiction,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P18/P18-12/P18-12_code_pref_GML.zip,P18-12_code_pref_GML.zip,P18-12_code_pref_PoliceStationJurisdiction.shp,,P18-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P18.html,,,,,,,CP932,,4612
